settlement_period,price,asset,action,power_mw,soc,reserved_capacity_pct
21,17.73,Battery_1,hold,0.0,16.5,50.0
21,17.73,Battery_2,hold,0.0,20.8,30.0
21,17.73,Battery_3,hold,0.0,20.8,30.0
21,17.73,Battery_4,hold,0.0,20.8,30.0
21,17.73,Battery_5,hold,0.0,20.8,30.0
22,1.55,Battery_1,hold,0.0,16.5,50.0
22,1.55,Battery_2,hold,0.0,20.8,30.0
22,1.55,Battery_3,hold,0.0,20.8,30.0
22,1.55,Battery_4,hold,0.0,20.8,30.0
22,1.55,Battery_5,hold,0.0,20.8,30.0
23,-23.89,Battery_1,charge,5.0,27.8,50.0
23,-23.89,Battery_2,charge,17.5,28.7,30.0
23,-23.89,Battery_3,charge,35.0,28.7,30.0
23,-23.89,Battery_4,charge,14.0,28.7,30.0
23,-23.89,Battery_5,charge,28.0,28.7,30.0
24,-34.45,Battery_1,charge,5.0,39.0,50.0
24,-34.45,Battery_2,charge,17.5,36.6,30.0
24,-34.45,Battery_3,charge,35.0,36.6,30.0
24,-34.45,Battery_4,charge,14.0,36.6,30.0
24,-34.45,Battery_5,charge,28.0,36.6,30.0
25,-45.58,Battery_1,charge,5.0,50.3,50.0
25,-45.58,Battery_2,charge,17.5,44.5,30.0
25,-45.58,Battery_3,charge,35.0,44.5,30.0
25,-45.58,Battery_4,charge,14.0,44.5,30.0
25,-45.58,Battery_5,charge,28.0,44.5,30.0
26,-53.64,Battery_1,charge,5.0,61.5,50.0
26,-53.64,Battery_2,charge,17.5,52.3,30.0
26,-53.64,Battery_3,charge,35.0,52.3,30.0
26,-53.64,Battery_4,charge,14.0,52.3,30.0
26,-53.64,Battery_5,charge,28.0,52.3,30.0
27,-57.82,Battery_1,charge,5.0,72.8,50.0
27,-57.82,Battery_2,charge,17.5,60.2,30.0
27,-57.82,Battery_3,charge,35.0,60.2,30.0
27,-57.82,Battery_4,charge,14.0,60.2,30.0
27,-57.82,Battery_5,charge,28.0,60.2,30.0
28,-57.32,Battery_1,charge,3.83,81.4,50.0
28,-57.32,Battery_2,charge,17.5,68.1,30.0
28,-57.32,Battery_3,charge,35.0,68.1,30.0
28,-57.32,Battery_4,charge,14.0,68.1,30.0
28,-57.32,Battery_5,charge,28.0,68.1,30.0
29,-51.58,Battery_1,charge,1.91,85.7,50.0
29,-51.58,Battery_2,charge,17.5,76.0,30.0
29,-51.58,Battery_3,charge,35.0,76.0,30.0
29,-51.58,Battery_4,charge,14.0,76.0,30.0
29,-51.58,Battery_5,charge,28.0,76.0,30.0
30,-47.54,Battery_1,charge,0.96,87.8,50.0
30,-47.54,Battery_2,charge,17.5,83.8,30.0
30,-47.54,Battery_3,charge,35.0,83.8,30.0
30,-47.54,Battery_4,charge,14.0,83.8,30.0
30,-47.54,Battery_5,charge,28.0,83.8,30.0
31,-24.86,Battery_1,charge,0.48,88.9,50.0
31,-24.86,Battery_2,charge,9.59,88.2,30.0
31,-24.86,Battery_3,charge,19.19,88.2,30.0
31,-24.86,Battery_4,charge,7.67,88.1,30.0
31,-24.86,Battery_5,charge,15.35,88.1,30.0
32,-9.26,Battery_1,charge,0.24,89.5,50.0
32,-9.26,Battery_2,charge,2.88,89.4,30.0
32,-9.26,Battery_3,charge,5.76,89.4,30.0
32,-9.26,Battery_4,charge,2.3,89.4,30.0
32,-9.26,Battery_5,charge,4.6,89.4,30.0
33,11.01,Battery_1,hold,0.0,89.5,50.0
33,11.01,Battery_2,hold,0.0,89.4,30.0
33,11.01,Battery_3,hold,0.0,89.4,30.0
33,11.01,Battery_4,hold,0.0,89.4,30.0
33,11.01,Battery_5,hold,0.0,89.4,30.0
34,49.66,Battery_1,hold,0.0,89.5,50.0
34,49.66,Battery_2,hold,0.0,89.4,30.0
34,49.66,Battery_3,hold,0.0,89.4,30.0
34,49.66,Battery_4,hold,0.0,89.4,30.0
34,49.66,Battery_5,hold,0.0,89.4,30.0
35,77.43,Battery_1,hold,0.0,89.5,50.0
35,77.43,Battery_2,hold,0.0,89.4,30.0
35,77.43,Battery_3,hold,0.0,89.4,30.0
35,77.43,Battery_4,hold,0.0,89.4,30.0
35,77.43,Battery_5,hold,0.0,89.4,30.0
36,93.0,Battery_1,hold,0.0,89.5,50.0
36,93.0,Battery_2,hold,0.0,89.4,30.0
36,93.0,Battery_3,hold,0.0,89.4,30.0
36,93.0,Battery_4,hold,0.0,89.4,30.0
36,93.0,Battery_5,hold,0.0,89.4,30.0
37,95.49,Battery_1,hold,0.0,89.5,50.0
37,95.49,Battery_2,hold,0.0,89.4,30.0
37,95.49,Battery_3,hold,0.0,89.4,30.0
37,95.49,Battery_4,hold,0.0,89.4,30.0
37,95.49,Battery_5,hold,0.0,89.4,30.0
38,104.5,Battery_1,discharge,5.0,75.6,50.0
38,104.5,Battery_2,discharge,17.5,79.7,30.0
38,104.5,Battery_3,discharge,35.0,79.7,30.0
38,104.5,Battery_4,discharge,14.0,79.7,30.0
38,104.5,Battery_5,discharge,28.0,79.7,30.0
39,115.5,Battery_1,discharge,5.0,61.7,50.0
39,115.5,Battery_2,discharge,17.5,70.0,30.0
39,115.5,Battery_3,discharge,35.0,70.0,30.0
39,115.5,Battery_4,discharge,14.0,70.0,30.0
39,115.5,Battery_5,discharge,28.0,70.0,30.0
40,121.64,Battery_1,discharge,5.0,47.8,50.0
40,121.64,Battery_2,discharge,17.5,60.3,30.0
40,121.64,Battery_3,discharge,35.0,60.3,30.0
40,121.64,Battery_4,discharge,14.0,60.3,30.0
40,121.64,Battery_5,discharge,28.0,60.3,30.0
41,118.36,Battery_1,discharge,5.0,33.9,50.0
41,118.36,Battery_2,discharge,17.5,50.6,30.0
41,118.36,Battery_3,discharge,35.0,50.6,30.0
41,118.36,Battery_4,discharge,14.0,50.6,30.0
41,118.36,Battery_5,discharge,28.0,50.6,30.0
42,116.97,Battery_1,discharge,4.3,22.0,50.0
42,116.97,Battery_2,discharge,17.5,40.8,30.0
42,116.97,Battery_3,discharge,35.0,40.8,30.0
42,116.97,Battery_4,discharge,14.0,40.8,30.0
42,116.97,Battery_5,discharge,28.0,40.8,30.0
43,100.87,Battery_1,discharge,2.15,16.0,50.0
43,100.87,Battery_2,discharge,17.5,31.1,30.0
43,100.87,Battery_3,discharge,35.0,31.1,30.0
43,100.87,Battery_4,discharge,14.0,31.1,30.0
43,100.87,Battery_5,discharge,28.0,31.1,30.0
44,99.93,Battery_1,hold,0.0,16.0,50.0
44,99.93,Battery_2,hold,0.0,31.1,30.0
44,99.93,Battery_3,hold,0.0,31.1,30.0
44,99.93,Battery_4,hold,0.0,31.1,30.0
44,99.93,Battery_5,hold,0.0,31.1,30.0
45,104.82,Battery_1,discharge,1.08,13.0,50.0
45,104.82,Battery_2,discharge,17.5,21.4,30.0
45,104.82,Battery_3,discharge,35.0,21.4,30.0
45,104.82,Battery_4,discharge,14.0,21.4,30.0
45,104.82,Battery_5,discharge,28.0,21.4,30.0
46,93.27,Battery_1,hold,0.0,13.0,50.0
46,93.27,Battery_2,hold,0.0,21.4,30.0
46,93.27,Battery_3,hold,0.0,21.4,30.0
46,93.27,Battery_4,hold,0.0,21.4,30.0
46,93.27,Battery_5,hold,0.0,21.4,30.0
47,91.15,Battery_1,hold,0.0,13.0,50.0
47,91.15,Battery_2,hold,0.0,21.4,30.0
47,91.15,Battery_3,hold,0.0,21.4,30.0
47,91.15,Battery_4,hold,0.0,21.4,30.0
47,91.15,Battery_5,hold,0.0,21.4,30.0
48,94.66,Battery_1,hold,0.0,13.0,50.0
48,94.66,Battery_2,hold,0.0,21.4,30.0
48,94.66,Battery_3,hold,0.0,21.4,30.0
48,94.66,Battery_4,hold,0.0,21.4,30.0
48,94.66,Battery_5,hold,0.0,21.4,30.0
