settlement_period,price,asset,action,power_mw,soc,reserved_capacity_pct
16,110.79,Battery_2,hold,0.0,58.3,30.0
16,110.79,Battery_3,hold,0.0,58.3,30.0
16,110.79,Battery_4,hold,0.0,58.3,30.0
16,110.79,Battery_5,hold,0.0,58.3,30.0
17,102.14,Battery_1,hold,0.0,46.1,50.0
17,102.14,Battery_2,hold,0.0,58.3,30.0
17,102.14,Battery_3,hold,0.0,58.3,30.0
17,102.14,Battery_4,hold,0.0,58.3,30.0
17,102.14,Battery_5,hold,0.0,58.3,30.0
18,98.4,Battery_1,hold,0.0,46.1,50.0
18,98.4,Battery_2,hold,0.0,58.3,30.0
18,98.4,Battery_3,hold,0.0,58.3,30.0
18,98.4,Battery_4,hold,0.0,58.3,30.0
18,98.4,Battery_5,hold,0.0,58.3,30.0
19,104.78,Battery_1,hold,0.0,46.1,50.0
19,104.78,Battery_2,hold,0.0,58.3,30.0
19,104.78,Battery_3,hold,0.0,58.3,30.0
19,104.78,Battery_4,hold,0.0,58.3,30.0
19,104.78,Battery_5,hold,0.0,58.3,30.0
20,104.17,Battery_1,hold,0.0,46.1,50.0
20,104.17,Battery_2,hold,0.0,58.3,30.0
20,104.17,Battery_3,hold,0.0,58.3,30.0
20,104.17,Battery_4,hold,0.0,58.3,30.0
20,104.17,Battery_5,hold,0.0,58.3,30.0
21,103.59,Battery_1,hold,0.0,46.1,50.0
21,103.59,Battery_2,hold,0.0,58.3,30.0
21,103.59,Battery_3,hold,0.0,58.3,30.0
21,103.59,Battery_4,hold,0.0,58.3,30.0
21,103.59,Battery_5,hold,0.0,58.3,30.0
22,106.62,Battery_1,hold,0.0,46.1,50.0
22,106.62,Battery_2,hold,0.0,58.3,30.0
22,106.62,Battery_3,hold,0.0,58.3,30.0
22,106.62,Battery_4,hold,0.0,58.3,30.0
22,106.62,Battery_5,hold,0.0,58.3,30.0
23,108.92,Battery_1,hold,0.0,46.1,50.0
23,108.92,Battery_2,hold,0.0,58.3,30.0
23,108.92,Battery_3,hold,0.0,58.3,30.0
23,108.92,Battery_4,hold,0.0,58.3,30.0
23,108.92,Battery_5,hold,0.0,58.3,30.0
24,109.88,Battery_1,hold,0.0,46.1,50.0
24,109.88,Battery_2,hold,0.0,58.3,30.0
24,109.88,Battery_3,hold,0.0,58.3,30.0
24,109.88,Battery_4,hold,0.0,58.3,30.0
24,109.88,Battery_5,hold,0.0,58.3,30.0
25,111.26,Battery_1,hold,0.0,46.1,50.0
25,111.26,Battery_2,hold,0.0,58.3,30.0
25,111.26,Battery_3,hold,0.0,58.3,30.0
25,111.26,Battery_4,hold,0.0,58.3,30.0
25,111.26,Battery_5,hold,0.0,58.3,30.0
26,107.46,Battery_1,hold,0.0,46.1,50.0
26,107.46,Battery_2,hold,0.0,58.3,30.0
26,107.46,Battery_3,hold,0.0,58.3,30.0
26,107.46,Battery_4,hold,0.0,58.3,30.0
26,107.46,Battery_5,hold,0.0,58.3,30.0
27,98.49,Battery_1,hold,0.0,46.1,50.0
27,98.49,Battery_2,hold,0.0,58.3,30.0
27,98.49,Battery_3,hold,0.0,58.3,30.0
27,98.49,Battery_4,hold,0.0,58.3,30.0
27,98.49,Battery_5,hold,0.0,58.3,30.0
28,93.18,Battery_1,hold,0.0,46.1,50.0
28,93.18,Battery_2,hold,0.0,58.3,30.0
28,93.18,Battery_3,hold,0.0,58.3,30.0
28,93.18,Battery_4,hold,0.0,58.3,30.0
28,93.18,Battery_5,hold,0.0,58.3,30.0
29,95.51,Battery_1,hold,0.0,46.1,50.0
29,95.51,Battery_2,hold,0.0,58.3,30.0
29,95.51,Battery_3,hold,0.0,58.3,30.0
29,95.51,Battery_4,hold,0.0,58.3,30.0
29,95.51,Battery_5,hold,0.0,58.3,30.0
30,89.83,Battery_1,hold,0.0,46.1,50.0
30,89.83,Battery_2,hold,0.0,58.3,30.0
30,89.83,Battery_3,hold,0.0,58.3,30.0
30,89.83,Battery_4,hold,0.0,58.3,30.0
30,89.83,Battery_5,hold,0.0,58.3,30.0
31,104.27,Battery_1,hold,0.0,46.1,50.0
31,104.27,Battery_2,hold,0.0,58.3,30.0
31,104.27,Battery_3,hold,0.0,58.3,30.0
31,104.27,Battery_4,hold,0.0,58.3,30.0
31,104.27,Battery_5,hold,0.0,58.3,30.0
32,107.79,Battery_1,hold,0.0,46.1,50.0
32,107.79,Battery_2,hold,0.0,58.3,30.0
32,107.79,Battery_3,hold,0.0,58.3,30.0
32,107.79,Battery_4,hold,0.0,58.3,30.0
32,107.79,Battery_5,hold,0.0,58.3,30.0
33,106.89,Battery_1,hold,0.0,46.1,50.0
33,106.89,Battery_2,hold,0.0,58.3,30.0
33,106.89,Battery_3,hold,0.0,58.3,30.0
33,106.89,Battery_4,hold,0.0,58.3,30.0
33,106.89,Battery_5,hold,0.0,58.3,30.0
34,111.31,Battery_1,hold,0.0,46.1,50.0
34,111.31,Battery_2,hold,0.0,58.3,30.0
34,111.31,Battery_3,hold,0.0,58.3,30.0
34,111.31,Battery_4,hold,0.0,58.3,30.0
34,111.31,Battery_5,hold,0.0,58.3,30.0
35,117.41,Battery_1,discharge,5.0,32.3,50.0
35,117.41,Battery_2,discharge,17.5,48.6,30.0
35,117.41,Battery_3,discharge,35.0,48.6,30.0
35,117.41,Battery_4,discharge,14.0,48.6,30.0
35,117.41,Battery_5,discharge,28.0,48.6,30.0
36,116.3,Battery_1,discharge,4.01,21.1,50.0
36,116.3,Battery_2,discharge,17.5,38.8,30.0
36,116.3,Battery_3,discharge,35.0,38.8,30.0
36,116.3,Battery_4,discharge,14.0,38.8,30.0
36,116.3,Battery_5,discharge,28.0,38.8,30.0
37,118.37,Battery_1,discharge,2.0,15.6,50.0
37,118.37,Battery_2,discharge,17.5,29.1,30.0
37,118.37,Battery_3,discharge,35.0,29.1,30.0
37,118.37,Battery_4,discharge,14.0,29.1,30.0
37,118.37,Battery_5,discharge,28.0,29.1,30.0
38,119.75,Battery_1,discharge,1.0,12.8,50.0
38,119.75,Battery_2,discharge,17.5,19.4,30.0
38,119.75,Battery_3,discharge,35.0,19.4,30.0
38,119.75,Battery_4,discharge,14.0,19.4,30.0
38,119.75,Battery_5,discharge,28.0,19.4,30.0
39,114.77,Battery_1,discharge,0.5,11.4,50.0
39,114.77,Battery_2,discharge,11.84,12.8,30.0
39,114.77,Battery_3,discharge,23.67,12.8,30.0
39,114.77,Battery_4,discharge,9.47,12.8,30.0
39,114.77,Battery_5,discharge,18.94,12.8,30.0
40,120.43,Battery_1,discharge,0.25,10.7,50.0
40,120.43,Battery_2,discharge,3.55,10.8,30.0
40,120.43,Battery_3,discharge,7.1,10.8,30.0
40,120.43,Battery_4,discharge,2.84,10.8,30.0
40,120.43,Battery_5,discharge,5.68,10.8,30.0
41,111.33,Battery_1,hold,0.0,10.7,50.0
41,111.33,Battery_2,hold,0.0,10.8,30.0
41,111.33,Battery_3,hold,0.0,10.8,30.0
41,111.33,Battery_4,hold,0.0,10.8,30.0
41,111.33,Battery_5,hold,0.0,10.8,30.0
42,114.8,Battery_1,discharge,0.13,10.3,50.0
42,114.8,Battery_2,discharge,1.07,10.3,30.0
42,114.8,Battery_3,discharge,2.13,10.3,30.0
42,114.8,Battery_4,discharge,0.85,10.3,30.0
42,114.8,Battery_5,discharge,1.7,10.3,30.0
43,103.3,Battery_1,hold,0.0,10.3,50.0
43,103.3,Battery_2,hold,0.0,10.3,30.0
43,103.3,Battery_3,hold,0.0,10.3,30.0
43,103.3,Battery_4,hold,0.0,10.3,30.0
43,103.3,Battery_5,hold,0.0,10.3,30.0
44,79.92,Battery_1,charge,5.0,21.6,50.0
44,79.92,Battery_2,charge,17.5,18.1,30.0
44,79.92,Battery_3,charge,35.0,18.1,30.0
44,79.92,Battery_4,charge,14.0,18.1,30.0
44,79.92,Battery_5,charge,28.0,18.1,30.0
45,75.82,Battery_1,charge,5.0,32.8,50.0
45,75.82,Battery_2,charge,17.5,26.0,30.0
45,75.82,Battery_3,charge,35.0,26.0,30.0
45,75.82,Battery_4,charge,14.0,26.0,30.0
45,75.82,Battery_5,charge,28.0,26.0,30.0
46,74.64,Battery_1,charge,5.0,44.1,50.0
46,74.64,Battery_2,charge,17.5,33.9,30.0
46,74.64,Battery_3,charge,35.0,33.9,30.0
46,74.64,Battery_4,charge,14.0,33.9,30.0
46,74.64,Battery_5,charge,28.0,33.9,30.0
47,69.19,Battery_1,charge,5.0,55.3,50.0
47,69.19,Battery_2,charge,17.5,41.8,30.0
47,69.19,Battery_3,charge,35.0,41.8,30.0
47,69.19,Battery_4,charge,14.0,41.8,30.0
47,69.19,Battery_5,charge,28.0,41.8,30.0
48,63.42,Battery_1,charge,5.0,66.6,50.0
48,63.42,Battery_2,charge,17.5,49.6,30.0
48,63.42,Battery_3,charge,35.0,49.6,30.0
48,63.42,Battery_4,charge,14.0,49.6,30.0
48,63.42,Battery_5,charge,28.0,49.6,30.0
